Date,Close_LDOS,High_LDOS,Low_LDOS,Open_LDOS,Volume_LDOS
2006-10-17,22.431804656982425,22.56911752744019,22.044835002544737,22.556634013248157,1741338.0
2006-10-18,22.05731201171875,22.768837396897972,21.95744778473694,22.768837396897972,1484487.0
2006-10-19,21.558002471923828,22.20711439464437,21.483105239079407,22.057319928955533,1481774.0
2006-10-20,22.28200340270996,22.34441902607578,21.53302942217689,21.720272435172426,1440342.0
2006-10-23,22.207107543945312,22.594077103781974,22.032346102186263,22.594077103781974,1152306.0
2006-10-24,22.34442138671875,22.5691130260516,22.119727818834736,22.219592055350116,880349.0
2006-10-25,22.55663299560547,22.58160002286316,21.982418368399102,22.444287158600257,1214960.0
2006-10-26,24.10452461242676,24.87846611070728,22.556641615865715,22.75636826749757,4729712.0
2006-10-27,25.05321502685547,25.090663634627205,24.19189319100299,24.466516957512827,3889418.0
2006-10-30,25.377775192260746,26.338959501388697,25.11563296510682,25.30287603553709,1939059.0
2006-10-31,24.96584129333496,26.189166037509167,24.691215521338037,26.014406461799577,1322082.0
2006-11-01,24.653759002685547,25.50259729221738,24.653759002685547,25.21549002517193,854186.0
2006-11-02,24.354177474975582,25.46515634237359,24.34169395961776,24.653766415149548,821745.0
2006-11-03,24.778587341308597,24.92838368891351,24.466514992096062,24.51644710796437,787037.0
2006-11-06,24.953350067138672,25.30287103910755,24.67872630855232,24.84100424706487,842360.0
2006-11-07,24.915891647338867,25.1530667058227,24.666233082024178,24.965823746111887,706928.0
2006-11-08,23.94223022460937,24.491477659086907,23.467879992237798,24.354166764742967,1550948.0
2006-11-09,25.21548843383789,25.215488433837887,23.842369743289847,24.06706136668379,992372.0
2006-11-10,24.953350067138672,25.103144493903734,24.354170431527223,24.96583357888615,765653.0
2006-11-13,24.8160400390625,24.91590428727005,24.6163134711988,24.91590428727005,332870.0
2006-11-14,24.89093589782715,25.04073032177773,24.59134512137486,24.865968874801297,520020.0
2006-11-15,24.990802764892575,25.115632117148763,24.77859267320191,24.89094044021852,591746.0
2006-11-16,25.06570053100586,25.06570053100586,24.778593207481133,24.915906076489144,374018.0
2006-11-17,24.678733825683597,24.965841183470197,24.516455837741244,24.965841183470197,485960.0
2006-11-20,24.341684341430664,24.828518105401315,24.129474306957334,24.77858599225154,427032.0
2006-11-21,24.04210090637207,24.27927608628494,23.717544991006797,24.21686044872548,1593351.0
2006-11-22,24.129472732543945,24.316717662500405,23.46787950854353,23.64263900033849,1469462.0
2006-11-24,23.92975425720215,23.967202870058617,23.6925790662607,23.742511192919817,141143.0
2006-11-27,23.592716217041016,23.842374916235347,23.0309851081295,23.717545566638183,826565.0
2006-11-28,23.592716217041016,23.64264641403873,22.569116321764845,23.21822816824952,782298.0
2006-11-29,23.767467498779297,23.954712422338552,23.592708012954976,23.9047803141527,458663.0
2006-11-30,23.68009185791016,23.804921190806443,23.417951608813794,23.717542393475117,246686.0
2006-12-01,23.49285316467285,23.655131134574304,23.35554222309565,23.6301660348016,371588.0
2006-12-04,23.417951583862305,23.46788370267785,23.180776430177424,23.243190132283477,306950.0
2006-12-05,23.692583084106445,23.804928941727727,23.318096892035506,23.45540785294424,370008.0
