Date,Close_EOG,High_EOG,Low_EOG,Open_EOG,Volume_EOG
1989-10-04,1.5991902351379397,1.6291750520467758,1.559210479259491,1.5792003571987152,20636000.0
1989-10-05,1.6491649150848389,1.6791497317227448,1.5991902206883286,1.6091851595676303,6453600.0
1989-10-06,1.6291755437850952,1.6791502537171532,1.629175543785095,1.65916036974433,2755200.0
1989-10-09,1.6291755437850952,1.629175543785095,1.5991907178258602,1.629175543785095,1084000.0
1989-10-10,1.6191810369491575,1.6391709262942091,1.5991911476041063,1.6391709262942091,1493600.0
1989-10-11,1.609186053276062,1.609186053276062,1.5792012199852037,1.5991911088457758,1260000.0
1989-10-12,1.6191810369491575,1.6291759816216835,1.609186092276632,1.609186092276632,602400.0
1989-10-13,1.5891966819763184,1.6191815250324753,1.5792017342909326,1.6191815250324753,3970400.0
1989-10-16,1.5792003870010376,1.5792003870010376,1.519230752051631,1.519230752051631,3924800.0
1989-10-17,1.5991902351379397,1.5991902351379397,1.559210479259491,1.559210479259491,1843200.0
1989-10-18,1.6291755437850952,1.6391704857715066,1.5891957758394486,1.5991907178258602,1128000.0
1989-10-19,1.6291755437850952,1.629175543785095,1.6191806017986834,1.6191806017986834,1040000.0
1989-10-20,1.6191810369491575,1.619181036949158,1.609186092276632,1.619181036949158,237600.0
1989-10-23,1.6291755437850952,1.6391704857715066,1.629175543785095,1.629175543785095,87200.0
1989-10-24,1.6391708850860596,1.6391708850860596,1.6191809962435466,1.629175940664803,689600.0
1989-10-25,1.6291755437850952,1.6491654277579184,1.6091856598122718,1.629175543785095,608000.0
1989-10-26,1.6291755437850952,1.6391704857715066,1.629175543785095,1.629175543785095,228800.0
1989-10-27,1.609186053276062,1.629175942136634,1.5991911088457758,1.629175942136634,456000.0
1989-10-30,1.5991902351379397,1.6091851741075516,1.5991902351379397,1.6091851741075516,250400.0
1989-10-31,1.5991902351379397,1.6091851741075516,1.5991902351379397,1.5991902351379397,424800.0
1989-11-01,1.6391708850860596,1.6391708850860596,1.6091860518222902,1.6091860518222902,715200.0
1989-11-02,1.6891459226608276,1.6891459226608276,1.659161083797026,1.659161083797026,130400.0
1989-11-03,1.7491146326065063,1.759109573364258,1.679150047302246,1.679150047302246,1118400.0
1989-11-06,1.6491649150848389,1.7391193649985572,1.6491649150848389,1.7391193649985572,264800.0
1989-11-07,1.7191301584243774,1.7191301584243774,1.5991908450459325,1.6291756733905436,727200.0
1989-11-08,1.7391191720962524,1.7391191720962522,1.709134358784248,1.719129296554916,236800.0
1989-11-09,1.7191301584243774,1.7391200439874517,1.7191301584243774,1.7391200439874517,60800.0
