Date,Close_AWK,High_AWK,Low_AWK,Open_AWK,Volume_AWK
2008-04-23,13.512393951416016,14.069944427172532,13.263135502908863,13.512393951416016,23402800.0
2008-04-24,13.650137901306152,13.77476709677792,13.322167256144771,13.591103085088406,4960900.0
2008-04-25,13.886274337768556,13.938749580261671,13.57798244451005,13.774764291082125,1956800.0
2008-04-28,13.774775505065918,14.09618678338432,13.650146233518951,14.09618678338432,709400.0
2008-04-29,13.820687294006348,14.030588375183363,13.656701917948162,14.030588375183363,859700.0
2008-04-30,13.873167037963867,13.90596487441726,13.722300743606858,13.82725131803865,893300.0
2008-05-01,14.371682167053224,14.430717018581634,13.774775335918832,13.91908205570524,2999000.0
2008-05-02,14.437268257141112,14.535659202560035,14.096178478654014,14.535659202560035,1639400.0
2008-05-05,14.371682167053224,14.725891276223685,14.142102327899348,14.725891276223685,579000.0
2008-05-06,14.135541915893556,14.338884726161677,14.017473471004534,14.299527326755936,1040200.0
2008-05-07,13.912514686584473,14.168332650114271,13.545187900601418,14.102738268411535,1240100.0
2008-05-08,13.938756942749023,13.97155351746478,13.794450262446908,13.925637812419067,888100.0
2008-05-09,14.214250564575195,14.325760655573418,13.794448457809631,13.938755119233054,550400.0
2008-05-12,14.102746963500977,14.260172825983656,13.958440235669238,14.233935807791314,1168000.0
2008-05-13,13.984674453735352,14.12898240378211,13.643584527763933,14.12242283777005,1783900.0
2008-05-14,13.9715576171875,14.08962732258444,13.45336432819032,13.45336432819032,649200.0
2008-05-15,13.879724502563477,14.076506487034466,13.840368355891146,14.069948171846866,470400.0
2008-05-16,14.1814546585083,14.201132101241662,13.84036480522777,14.05682543305791,1002400.0
2008-05-19,14.266731262207031,14.489751529153276,14.135542428317672,14.358562695263917,802900.0
2008-05-20,14.201132774353027,14.41103384751802,14.06994522917945,14.41103384751802,504100.0
2008-05-21,13.879724502563477,14.332324568177969,13.807570524406415,14.332324568177969,407100.0
2008-05-22,14.004355430603027,14.06994985028807,13.853489141104076,14.017474564761937,274600.0
2008-05-23,13.866601943969728,13.938755904299818,13.77477054071982,13.938755904299818,464200.0
2008-05-27,13.925637245178224,14.096182179193343,13.807567579236286,14.096182179193343,320300.0
2008-05-28,14.043704986572266,14.050264550571129,13.82068481504662,13.840363507043204,403800.0
2008-05-29,13.814126968383787,14.102741564668948,13.80756740356946,14.030587602820392,384600.0
2008-05-30,14.102746963500977,14.102746963500977,13.80757268940249,13.840370526029844,784300.0
2008-06-02,14.168339729309082,14.673415094339092,13.905963322510829,14.673415094339092,414900.0
2008-06-03,13.984674453735352,14.365120524669848,13.96499700680846,14.338883511730897,446000.0
2008-06-04,14.148659706115724,14.19457541662162,13.820688915520146,13.84036761335522,850300.0
2008-06-05,14.29952907562256,14.358563930841871,14.096187491594677,14.096187491594677,567400.0
2008-06-06,14.49630641937256,14.594697387493405,14.26672665968456,14.26672665968456,1588900.0
2008-06-09,14.647177696228027,14.686533846803016,14.496311409766012,14.627498995385798,377700.0
2008-06-10,14.332326889038086,14.59470332785629,14.32576732167894,14.502871887047306,594000.0
2008-06-11,14.24049186706543,14.712770630772669,13.905962744251926,14.247051433351292,692300.0
2008-06-12,14.332326889038086,14.502871887047306,14.083068333828631,14.502871887047306,394400.0
2008-06-13,14.686525344848633,14.693084907998744,14.240485059510968,14.522540019422063,460500.0
2008-06-16,14.92266845703125,15.086653824690934,14.588138156872407,14.73900439485314,783000.0
2008-06-17,15.204733848571776,15.421194631312977,14.62750426052197,14.922678623855385,1194300.0
